"Year"	"P"	"R"	"L"	"G"	"F"	"T"	"Cluster"	"Silhouette"	"Silhouette_neighbor"
2006	0.0501076693722047	0.0551093628680399	0.319363922478052	0.00375803127651837	0.336629131191065	0.00157939497023448	"Unnamed"	0.301057533449966	"F+"
2006	0.0677449601500234	0.0338709677419355	0.161157993436474	0.132800193868896	0.145060715457827	0	"Unnamed"	0.138740711154622	"P+ L-"
2006	0.0244899462325992	0.0478648578871657	0.426751123223098	0.0528749619714025	0.765744238032837	0.02541948409717	"F+"	0.380028481590229	"Unnamed"
2006	-0.502043257251071	-0.199762501649294	2.18339479716934	-0.0328838625489343	0.18845872899927	-0.0043989510193723	"Boxplot outlier"	NA	NA
2006	0.0554535920293655	0.0506695069993914	0.671473518615627	0.475841874084919	0.330964194716374	0	"L+ G+"	0.34968881299271	"Unnamed"
2006	0.00899239105372377	0.0250119993600341	0.990853892859888	0.847631241997439	0.163649635036496	0	"L+ G+"	0.299036525467563	"Unnamed"
2006	0.0567507418397626	0.0286812202826706	0.591802670623145	0.446845941191254	0.18397973104658	0	"L+ G+"	0.268699891042171	"Unnamed"
2006	-0.124406694978766	0	0.849612790407195	0.76837245094267	0.123989898989899	0.258620689655172	"L+ G+"	0.145282241574443	"R- P- L+"
2006	0.0775064742878283	0.0630739459871961	0.424528301886792	0.00160462130937099	0.267726469846076	0.000963391136801541	"Unnamed"	0.453520896249432	"F+"
2006	0.126096997690531	0.0446877027564863	0.21431870669746	0	0.165586328815557	0.00176056338028169	"P+ L-"	-0.0303272604000941	"Unnamed"
2006	0.0997494875882487	0.06881710824958	0.618765657025734	0.211864406779661	0.17247191011236	0	"Unnamed"	0.210601869814583	"L+ G+"
2006	0.00634146341463415	0.0174275202445577	0.212682926829268	0.00247218788627936	0.221291866028708	0.0194410692588092	"Unnamed"	0.317662624398561	"P+ L-"
2006	0.115930802995094	0.0840336134453782	0.357603924606248	0.381863354037267	0.104249667994688	0.259964306960143	"L+ G+"	0.0772175514892995	"Unnamed"
2006	0.0684055118110236	0.0688178001337754	0.52632874015748	0	0.401028277634961	0.00207361327112494	"Unnamed"	0.251676434060503	"F+"
